"variable","estimate","std_error","t_value","p_value"
"intercept",0.00477947026417011,0.0538479792765926,0.0887585816288507,0.929309745585029
"x1",1.04921087826658,0.0781670923662337,13.4226673463911,3.0469182165577e-35
"x2",-0.0123824634849884,0.0544648781683574,-0.227347676179734,0.820247460510768
"x3",0.0221709140873947,0.0518221096347651,0.42782731624884,0.668963290544795
"x4",-0.109276666771238,0.050323963955507,-2.17146381528795,0.0303713322206222
"x5",-0.0908568708740753,0.0496165392295486,-1.83118114009786,0.0676756175546622
