"variable","estimate","std_error","t_value","p_value"
"intercept",0.00477947026417011,0.054539522981141,0.0876331512071124,0.930203763901508
"x1",1.04921087826658,0.0796507113666706,13.1726491862271,3.57311461264077e-34
"x2",-0.0123824634849884,0.0553360633099456,-0.223768420525912,0.823030012615269
"x3",0.0221709140873947,0.0526861812307361,0.42081080027984,0.674076250866068
"x4",-0.109276666771238,0.0511712500709823,-2.13550903328832,0.0332106127845354
"x5",-0.0908568708740753,0.0504470078231415,-1.80103587496415,0.0723069546578458
